trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-143.1936084985696,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-130.2981738286354,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-146.13460198989125,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9646402934831231}",35,0,-155.0497017683932,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9559974818331}",35,0,-100.10795609501793,"{0: 23, 1: 1, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9474321065017983}",30,0,-179.77349120655737,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-106.6077811263167,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9305308958112057}",25,2,-45.795728656164336,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.922193691444608}",30,0,-38.1686258283625,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-104.51245913264096,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,0,-67.67587348890645,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8976275964304349}",35,0,-271.1030024084967,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.8895851931634113}",25,0,-11.805533490048331,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8816148467834161}",25,0,-106.97063225660601,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,1,-70.74897841689804,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.865887748059205}",20,5,-36.63095173273042,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8581297218113938}",30,1,-119.24293056400748,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.850441204540233}",25,0,-84.8008769165907,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8428215734716199}",20,0,-134.7627265531969,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-134.91606281369502,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8277865066947336}",25,8,-78.79583601921448,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8203698531378311}",25,13,1.8338204076336826,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.813019649987571}",20,0,-132.33805183201966,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8057353018734796}",25,0,-105.9113574212062,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-86.44283067422334,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7913618158955839}",25,8,-21.246926317651848,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7842715137715565}",25,0,-252.59021027400533,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
28,False,"{'a': 0.5, 'e': 0.7772447380689461}",20,6,-127.30644217622377,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.7702809196150792}",20,0,-147.3778441670126,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",1
30,False,"{'a': 0.5, 'e': 0.7633794943368533}",30,3,-79.0819878935163,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.7565399032150474}",20,0,-36.59666620804541,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7497615922390413}",20,0,-101.33752028562033,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7430440123619398}",30,0,-19.373907318591126,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7363866194561001}",20,0,-80.07880661945408,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,4,-110.77641122808355,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
