trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-114.15316344551324,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-211.36448134499727,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,3,-123.62284093556637,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-122.95273420579909,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9559974818331}",20,7,-97.11896475048992,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.9474321065017983}",25,0,-193.49193718548236,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9389434736891332}",20,0,-45.845835323376136,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9305308958112057}",20,0,-27.32604543590829,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.922193691444608}",25,0,-87.70625361892485,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,3,-74.45251812834769,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,7,-54.08304511298593,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8976275964304349}",25,0,-172.33186471766876,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8895851931634113}",25,0,-66.6654183792733,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,0,-50.43246591374332,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8737159116880344}",30,9,-30.99124277277631,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.865887748059205}",20,16,8.471214247342747,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8581297218113938}",20,0,-1.3124481159788208,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.850441204540233}",20,12,-11.505854178572314,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8428215734716199}",20,11,-7.384659568021031,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-101.89500961733953,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8277865066947336}",20,3,-79.32971243927283,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.8203698531378311}",25,0,-39.967658397789535,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.813019649987571}",20,0,-110.11843301232192,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.8057353018734796}",20,0,-76.46003773644055,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7985162187593771}",30,0,-96.28205608487562,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7913618158955839}",20,0,-106.73309196540589,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7842715137715565}",20,14,-7.397544231979257,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
