trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.92745957891023,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.36057293827167,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.66817822183961,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.35833648802472,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.99205378949907,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.30375626093058,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.39559815859495,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,6,-60.3028569759811,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,13,-24.72613731647873,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.50575802400213,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.701657402635924,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.2111004589442,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.13572799142827,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.4488842719511,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.752730613363,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.57982065131048,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.02886422166858,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.2246076274207,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.63421067576672,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.99302748536738,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.44370729247092,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.0712280366826,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.4653426396163,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.50878921192668,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,8,-42.39175696766244,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.92157973410048,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.6138486557487,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.89468995488559,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.89527189184997,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.9440116697163,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
